IdParticipante;IdCodigoIbge;Participante;Endereco;Bairro;Pais;Segmento;Cep
338336805005280;3170701;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";R OTTO SALGADO 250;DISTRITO INDUSTRIAL CLAUDIO G. NOGU;;;
1389906090003120;3534401;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";AVENIDA PERNANBUCO 3883;VILA SAO JOSE;;;
925428405002895;3550308;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";AVENIDA ALFREDO EGIDIO S ARANHA 100;CENTRO;;;
917803320004110;3534401;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";PCA AGRICOLA LA PAZ TRISTANTE 35;CENTRO;;;
842085615001770;3550308;~FDKLDS~FK~D~«, .V,XCM.,XCM.V,CM;AVENIDA DOMINGOS DE SOUZA MARQUES 546;VILA JAGUARA;;;
739791165010935;3534401;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";AVENIDA DAS COMUNICACOES 333;PARQUE INDUSTRIAL ANHANGUERA;;;
228657570002745;3550308;",B;.,SDLG,AL~S,AS~«L BXC;.B,Z.. ?.A,FLALFA";ESTRADA DO CAMPO LIMPO 4805;PIRAJUSSARA;;;
671594055002250;3550308;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";AV Itaquera 8223;Vila Carmosina;;;
653305020002685;3518800;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";AVENIDA JARAGUA 5;CUMBICA;;;
592933710002475;3304557;,XCV.MX.,CVMC.X,SLKL«V .XCBX.C,MB,.XCMB,;R MONSENHOR MANUEL GOMES 6;SAO CRISTOVAO;;;
495501600048135;5300108;"CMSDSD«L«LSD«LDK VDLZVL;,;.Z";Q 02 SOF SUL CONJUNTO A LOTES 01/03;Guara;;;
638874765018060;3304557;Esta Empresa … SÛ Um Teste;RUA HILARIO DE GOUVEIA 74;COPACABANA;;;
638874765028365;3304557;Esta Empresa … SÛ Um Teste;AVENIDA SUBURBANA 5332;DEL CASTILHO;;;
638874765029580;3304557;Esta Empresa … SÛ Um Teste;AV.SUBURBANA 5474;DEL CASTILHO;;;
638874765117330;3304557;Esta Empresa … SÛ Um Teste;ESTRADAADA DO MEDANHA 555;CAMPO GRANDE;;;
638874765141630;3304557;Esta Empresa … SÛ Um Teste;AVENIDANOSSA SRA.DE COPACABANA 967;COPACABANA;;;
638874765132030;3304557;Esta Empresa … SÛ Um Teste;RUA CORONEL.AGOSTINHO 141;CAMPO GRANDE;;;
638874765148140;3548708;Esta Empresa … SÛ Um Teste;GARCIA LORCA, 301 LJ 35 301;CENTRO;;;
638874765357900;3550308;Esta Empresa … SÛ Um Teste;AVENIDA ROQUE PETRONIO JUNIOR 1039;VILA GERTRUDES;;;
638874765224250;3550308;Esta Empresa … SÛ Um Teste;RUA BARAO DE ITAPETININGA 26;CENTRO;;;
638874765345045;3550308;Esta Empresa … SÛ Um Teste;AVENIDA REBOUCAS 3970;PINHEIROS;;;
638874765249765;3550308;Esta Empresa … SÛ Um Teste;AV. CRUZEIRO DO SUL 1100;CANINDE;;;
638874765352770;3550308;Esta Empresa … SÛ Um Teste;RUA DOZE DE OUTUBRO, 128/132 128;LAPA;;;
638874765310245;3550308;Esta Empresa … SÛ Um Teste;TRAVESSA CASALBUONO 120;VILA GUILHERME;;;
