IdProduto;Produto;TipoDeProduto;GrupoDeProdutos;FamiliaDeProdutos
1000000731;SERVICO;;;
1000000731S;SERVICOS;;;
1000004216;BOBINA TERMICA PARA ECF;;;
1000005392;PAO HAMB INTEGRAL 60P;;;
1300000102;Conservacao, Reparos e Instalacoes;;;
1300000113;Pequenos Equipamentos;;;
1300000115;Pecas de Reposicao;;;
1400000104S;Honorarios Advocaticios;;;
1400000153;ASSESSORIA EMPRESARIAL;;;
1400000158;DESPESAS C/ FRETES E CARRETOS;;;
1400000180;CONSERVACAO REPAROS E INSTALACOES;;;
1400000205;material de escritrorio;;;
1400000209;Incentivo para Funcionarios;;;
1400000226;outros serviÃ§os;;;
1400000226S;SUPORTE TECNICO MANUTENCAO EM TECNOLOGIA DA INFORMACAO PAT;;;
1500000187;Impressos e Formularios;;;
1500000364;Material de Escritorio;;;
1500000374;MATERIAS DIVERSOS DE ESCRITÃRIO;;;
1500002779;MOUSE BLACK USB;;;
1500002784;TECLADO MULTIMIDIA USB BLACK;;;
1600000102;Unifornes - Roupas;;;
1600000309;Lampadas;;;
1600000435;Sinalizacao Interna de Restaurante;;;
1600000438;Material Promocional - Marketing;;;
1600000539;SUPRIMENTOS PARA COPA;;;
1600000560;Outras Entradas;;;
1700000118;PRODUTOS MCD INTRA;;;
2300000157;Refeicoes;;;
2300000159;Incentivo para Funcionarios;;;
2300000170;REUNIÃO DEPARTAMENTAL;;;
2400000008;INFRA ESTRUTURA;;;
2400000054;SERVIÃOS DE CONSTRUÃÃO CIVIL;;;
2400000054S;SERVIÃOS DE CONSTRUÃÃO CIVIL;;;
2400000086;DESK TOP DC5100 P4 2.8GHZ, 512MB HD 40GB 7200 RPM, MOUSE, TECLADO, CD-ROM 48X, FLOPPY 3 1/2, REDE 10/100/1000 WINDOWS XP PRO;;;
2400000089;ECF TÃRMICA 7197 FISCAL PRINTER;;;
2400000095;HP INT 73G 10K ULTRA 160 HDD A6539A -;;;
2400000098;IMPRESSORA DESKJET 3845;;;
2400000099;IMPRESSORA FISCAL;;;
2400000107;MONITOR 19 AOC LCD WIDE MULTIMIDIA;;;
2400000110;MONITOR TOUCH SCREN DT;;;
2400000112;NOBREAK APC 600 VA;;;
2400000118;POS;;;
2400000122;SERVIDOR HP PROLIANT ML 110 G3;;;
2400000123;TECLADO 107T GELO,CABO MINI DIN;;;
2400000140;LICENÃA DE USO ANTISPYWARE ENTERPRISE EDITON ( 12 MESES );;;
2400000285;COMPUTADOR DE FRITADEIRA;;;
2400000407;GAVETA HOR NCR;;;
2400000408;GAVETA HORIZONTAL MG40;;;
2400000451;KIT INSTALAÃÃO;;;
2400000489;MAQUINA COMBO;;;
2400000588;PIROMETRO;;;
2400000714;RELÃGIO DE PONTO NETLINE II;;;
2400000774;SUPORTE A NEWPOS;;;
2400000911;FORNO;;;
2400001223;BUMP BAR;;;
2400001278;MOBILIÃRIO;;;
2400001460;SISTEMA DE ILUMINAÃAO;;;
2400001543;ROTEADOR CISCO;;;
2400001597;Desktop DC5800, Core2Duo E8300 2,66Ghz, MEM 1 GB, HB 160GB,;;;
2400001623;IMPRESSORA MP 4000;;;
2400001629;WIRELESS SWITCH 2000 - 6 PORTAS;;;
2400001653;MONITOR LCD - 18,5" - HP;;;
2400001655;DESKTOP HP COMPAQ 6000;;;
1000004438;TELEVISAO EM CORES 32POL LCD LED HD;;;
1000004615;FRETE MUNICIPAL;;;
1300000119;EQUIPAMENTOS E ELETRONICOS;;;
1300000695;FRITADEIRAS FILTRADORRAS E SISTEMA ANSUL;;;
1300002317;Paisagismo - AquisiÃ§Ã£o de Plantas;;;
1300002436;CONECTOR BALUN (PAR);;;
1500000373;ENCADERNAÃÃO XEROX;;;
2300000151;Despesas de Cursos e Materiais de Treinamento;;;
2300000155;Pins;;;
2300000160;Despesas com Reunioes;;;
2300000340;NOTEBOOK HP;;;
2400000009;INSTALAÃ/AO 0 A 100KM;;;
2400000126;UNIDADE LEITORA DVD, GRAVADOR CD;;;
2400000501;MENU;;;
2400000604;PORTA DE OVERHEAD FREEZER;;;
2400000838;TRANSPORTE;;;
2400000983;CLAM SHELL GARLAND;;;
2400001305;QUADROS;;;
2400001314;SISTEMA DE SOM;;;
2400001365;NOTEBOOK TP R60;;;
2400001472;Rack Retrofit em Restaurantes;;;
2400001620;Monitor 19" Samsung 943BX LCD;;;
2400001647;PAINEL ELETRICO;;;
2400001669;CAMERA DE VIDEO;;;
2400001671;TV LCD;;;
SPED315220622;NB APC BACK UPS 600VA 115V 220V BRAZIL;;;
SPED315585291;RealPOS XR7 15" PCAP RGB com Intel Celeron + ConfiguraÃ§Ãµes;;;
SPED315585461;Bump bar (Teclado de 12 chaves padrÃ£o AT (PS2);;;
1300000101;Eletrica e Luminarias;;;
1300000104;Luminosos;;;
1300000107;Equipamentos e Acessorios;;;
1300002312;Conservacao, Reparos e Instalacoes;;;
1300002432;MONITOR LCD 19";;;
1400000104;Honorarios Advocaticios;;;
1400000219;TECNOLOGIA E INFORMATICA;;;
1500001019;GARRAFA TERMICA INOX PRES. 1,8 LTS;;;
1600000386;ADESIVO - ESTUFA DA BATATA;;;
1600000531;MC CAFÃ;;;
2400000079;CPU CELERON 2.6 GHZ,256 MB RAM,40GB,WINDOWS XP;;;
2400000116;PLACA FAX MODEM 56 KBPS;;;
2400000124;TECLADO,CDROM 48 X,FLOPPY 31/2,REDE 10/100/1000;;;
2400000130;WK5045/256 MODULO DE MEMÃRIA DE 256MB KINGSTON PARA VECTRA VL420;;;
2400000351;EQUIPAMENTO P/ INSTALAÃÃO DO SISTEMA DE PRESSURIZAÃÃO;;;
2400000359;ESTUFA DE BATATAS DIREITA COMP.;;;
2400000362;ESTUFA DE LANCHE STB36A-220V COM SUPORTE;;;
2400000366;ESTUFA UNIVERSAL ( GALPÃO );;;
2400000385;FORNOS, ESTUFAS;;;
2400000582;PAINEL ARTISITICO;;;
2400000775;SUPORTE A RELOGIO DE PONTO REST. NAM;;;
2400000795;Suporte p/ transformador e CPU;;;
2400000809;SUPORTE PARA MONITOR, CPU, TECLADO E IMPRESSORA;;;
2400000907;ESTUFA;;;
2400000927;MICRO ONDAS;;;
2400001044;MÃQUINA DE SORVETE RESFRIADA A AR COMBO-380V;;;
2400001122;Vitrine expositora aquecida 900mm;;;
2400001250;COLD KIOSK  EXTERNO 15005;;;
2400001361;CERAMICA / PORCELANATO;;;
2400001382;MONITOR TOUCH 15"C/ LEITOR DE CARTÃES/DISPLAY CLIENTE;;;
2400001551;MOUSE OPTICO;;;
2400001565;FONTE 24V PARA IMPRESSORA FISCAL;;;
2400001579;MAQUINA DE LEITE;;;
2400001628;HOME BASE C/ CABO USB, FONTE, CABO FORÃA CRD-5000;;;
2400001657;CPU PARA BOP - SCHALTER;;;
2400001736;IMPRESSORA FISCAL;;;
2400001978;PORCELANATO TECNICO 5OX5O CM ARQTEC PANNA NO-SLIP 50x50 A T.4168;;;
299120006;ManutenÃ§ao equip.de informatica;;;
SPED330840882;CTKF001 - CT KEY FOB;;;
SPED330840883;CTK1P003 - CT200 FIXED 30 DEGREE 5;;;
SPED330840884;CTK1M001-W CT200 TABLET FRAME 10;;;
SPED330840885;CTK1MP007-W CT200 COVER AND INSERT SAMSU;;;
SPED330840956;PS415 CABLE USB TO MICRO USB 3M;;;
SPED330841162;POS 3.81-4.00;;;
SPED330978312;Unidade Externa Split High Wall Inverter  Samsung Digital 18.000 Btus/h SÃ³ Frio GÃ¡s R410a 220V MonofÃ¡sico. KIT: KIT809;;;
SPED330978313;FRETE;;;
SPED331003972;SAT SWEDA;;;
SPED331003973;BUMP BAR;;;
SPED331053742;NGK double;;;
SPED331112432;caixa de saco de leite;;;
SPED331125782;Monitores SMART TV 40" - DOLAR 3,51 A 3,90;;;
207020072;SAT;;;
1300000103;Mobiliario;;;
1300000116;NCR/SID;;;
